IDENTIFICADOR_DEL_REGISTRO,INCUMPLIMIENTO,CLASIFICACION_RESULTADO_PRODUCTO
308,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
309,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
310,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
311,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
312,Carece de la leyenda que identifique el pais de origen,VISITA CON INFRACCION PRODUCTO INMOVILIZADO
313,Ostenta la informacion comercial en idioma distinto al espa̱ol,VISITA CON INFRACCION PRODUCTO INMOVILIZADO
314,Ostenta la informacion comercial en idioma distinto al espa̱ol,VISITA CON INFRACCION  PRODUCTO EMPLAZADO
315,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
316,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
317,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
318,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
319,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
320,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
321,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
322,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
323,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
324,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
325,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
326,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
327,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
328,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
329,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
330,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
331,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
332,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
333,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
334,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
335,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
336,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
337,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
338,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
339,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
340,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
341,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
342,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
343,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
344,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
345,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
346,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
347,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
348,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
349,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
350,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
351,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
352,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
353,Carece de los requisitos generales de etiquetado,VISITA CON INFRACCION PRODUCTO INMOVILIZADO
354,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
355,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
356,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
357,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
358,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
359,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
360,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
361,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
362,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
