RAZON_SOCIAL_VISITADA,GIRO_COMERCIAL,MUNICIPIO,ENTIDAD,ID_RAZON_SOCIAL_VISITADA
7 ELEVEN MEXICO  S.A. DE C.V. (CASA BLANCA Y PASEO DE CASTELLAN),TIENDAS DE CONVENIENCIA,MATAMOROS,TAMAULIPAS,190
7 ELEVEN MEXICO  S.A. DE C.V. (CONSTITUYENTES Y VILLAEHRMOSA),TIENDAS DE CONVENIENCIA,MATAMOROS,TAMAULIPAS,191
7 ELEVEN MEXICO  S.A. DE C.V. (DIV. DEL NORTE Y FRANCISCO VILLA),TIENDAS DE CONVENIENCIA,MATAMOROS,TAMAULIPAS,192
7 ELEVEN MEXICO  S.A. DE C.V. (DIVISION DEL NORTE Y BLVD. INTER.),TIENDAS DE CONVENIENCIA,MATAMOROS,TAMAULIPAS,193
7 ELEVEN MEXICO  S.A. DE C.V. (EMPLEADO POSTAL),TIENDAS DE CONVENIENCIA,MATAMOROS,TAMAULIPAS,194
7 ELEVEN MEXICO  S.A. DE C.V. (FRANCISCO VILLA Y ROBERTO GUERRA),TIENDAS DE CONVENIENCIA,MATAMOROS,TAMAULIPAS,195
7 ELEVEN MEXICO  S.A. DE C.V. (GOMEZ PALACIO),TIENDAS DE CONVENIENCIA,MATAMOROS,TAMAULIPAS,196
7 ELEVEN MEXICO  S.A. DE C.V. (LAURO VILLAR Y JOSE ARRESE),TIENDAS DE CONVENIENCIA,MATAMOROS,TAMAULIPAS,197
7 ELEVEN MEXICO  S.A. DE C.V. (MAESTRO Y CANALES),TIENDAS DE CONVENIENCIA,MATAMOROS,TAMAULIPAS,198
7 ELEVEN MEXICO  S.A. DE C.V. (MARTE R. GOMEZ Y SIERRA),TIENDAS DE CONVENIENCIA,MATAMOROS,TAMAULIPAS,199
7 ELEVEN MEXICO  S.A. DE C.V. (MONTEBELLO),TIENDAS DE CONVENIENCIA,MATAMOROS,TAMAULIPAS,200
7 ELEVEN MEXICO  S.A. DE C.V. (MORELOS Y OCTAVA),TIENDAS DE CONVENIENCIA,MATAMOROS,TAMAULIPAS,201
7 ELEVEN MEXICO  S.A. DE C.V. (PALMARES),TIENDAS DE CONVENIENCIA,MATAMOROS,TAMAULIPAS,202
7 ELEVEN MEXICO  S.A. DE C.V. (PRIMERA Y J. F.  KENNEDY),TIENDAS DE CONVENIENCIA,MATAMOROS,TAMAULIPAS,203
7 ELEVEN MEXICO  S.A. DE C.V. (SENDERO NACIONAL),TIENDAS DE CONVENIENCIA,MATAMOROS,TAMAULIPAS,204
7 ELEVEN MEXICO  S.A. DE C.V. (SENDERO Y CONSTITUYENTES),TIENDAS DE CONVENIENCIA,MATAMOROS,TAMAULIPAS,205
7 ELEVEN MEXICO  S.A. DE C.V. (TEC DE MATAMOROS),TIENDAS DE CONVENIENCIA,MATAMOROS,TAMAULIPAS,206
7 ELEVEN MEXICO  S.A. DE C.V. (TERCERA Y SOLERNAU),TIENDAS DE CONVENIENCIA,MATAMOROS,TAMAULIPAS,207
